"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4646","Test 3 - Success login - page object based","","Wed Sep 04 13:34:30 WIB 2024","passed","Wed Sep 04 13:34:34 WIB 2024","","Test Saucedemo","",""
"","2052","Test 2 - Failed login","","Wed Sep 04 13:34:32 WIB 2024","passed","Wed Sep 04 13:34:34 WIB 2024","","Test Saucedemo","",""
"","7845","Test 1 - Success checkout item","","Wed Sep 04 13:34:34 WIB 2024","passed","Wed Sep 04 13:34:42 WIB 2024","","Test Saucedemo","",""
"","537","Test 4 - Failed login - page object based","","Wed Sep 04 13:34:34 WIB 2024","passed","Wed Sep 04 13:34:35 WIB 2024","","Test Saucedemo","",""
"","626","Test 1 - Success login","","Wed Sep 04 13:34:31 WIB 2024","broken","Wed Sep 04 13:34:32 WIB 2024","","Test Saucedemo","",""
